区画,作業,2026/09/20,2026/09/21,2026/09/22
A区画,播種,FALSE,FALSE,FALSE
B区画,播種,FALSE,FALSE,FALSE
C区画,播種,FALSE,FALSE,FALSE
D区画,播種,FALSE,FALSE,FALSE
E1区画,播種,FALSE,FALSE,FALSE
E2区画,播種,FALSE,FALSE,FALSE
F区画,播種,FALSE,FALSE,FALSE
G区画,播種,FALSE,FALSE,FALSE
G1ハウス,播種,FALSE,FALSE,FALSE
G2ハウス,播種,FALSE,FALSE,FALSE
G3ハウス,播種,FALSE,FALSE,FALSE
G4ハウス,播種,FALSE,FALSE,FALSE
H区画,播種,FALSE,FALSE,FALSE
I区画,播種,FALSE,FALSE,FALSE
J区画,播種,FALSE,FALSE,FALSE
K区画,播種,FALSE,FALSE,FALSE
L1区画,播種,FALSE,FALSE,FALSE
L2区画,播種,FALSE,FALSE,FALSE
M区画,播種,FALSE,FALSE,FALSE
M1ハウス,播種,FALSE,FALSE,FALSE
M2ハウス,播種,FALSE,FALSE,FALSE
M3ハウス,播種,FALSE,FALSE,FALSE
M4ハウス,播種,FALSE,FALSE,FALSE
M5ハウス,播種,FALSE,FALSE,FALSE
M6ハウス,播種,FALSE,FALSE,FALSE
N区画,播種,FALSE,FALSE,FALSE
O区画,播種,FALSE,FALSE,FALSE
Bハウス,播種,FALSE,FALSE,FALSE
Cハウス,播種,FALSE,FALSE,FALSE
Hハウス,播種,FALSE,FALSE,FALSE
